id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
14273477;Ótimo Apartamento em frente ao Rock in Rio 2017;87035623;Marcos;;Jacarepaguá;-22.97071829;-43.38867449;Entire home/apt;1100;1;4;25/09/2017;0.15;1;362
16164033;Excelent ROOM in Barra da Tijuca - RIO - With All;87347180;Luana;;Jacarepaguá;-22.96591982;-43.38700649;Private room;210;1;17;26/08/2018;1.05;1;340
14280108;Cobertura Duplex, pertinho do PARQUE OLÍMPICO!;87120204;Vanda;;Jacarepaguá;-22.97223757;-43.39190814;Entire home/apt;1998;10;0;;;1;364
21145377;Ótima suíte próximo Riocentro e parque olímpico.;100495418;Patricia;;Jacarepaguá;-22.96929333;-43.39225012;Private room;240;2;0;;;1;364
892301;APART COMPLETO - JEUNESSE ARENA - Nova Barra;4741538;Leonardo;;Jacarepaguá;-22.97025702;-43.39484101;Entire home/apt;300;1;4;9/09/2018;0.86;1;294
17003870;Quarto Feminino somente prox Centro Olímpico;67038243;Bianca;;Jacarepaguá;-22.96855442;-43.38987268;Private room;139;2;2;25/09/2017;0.15;1;177
14317440;15 min do parque olímpico( rock in rio);87553914;Sabrina;;Jacarepaguá;-22.96780464;-43.38703423;Private room;424;2;1;24/09/2017;0.08;1;178
12601079;Abu Dhabi Grand Slam Jiu-Jitsu World Tour - RJ;67956157;Andressa;;Jacarepaguá;-22.96996277;-43.39585394;Entire home/apt;252;2;2;25/09/2017;0.08;1;362
21813168;Quarto em apartamento no condomínio Barramares;6326706;Andre;;Barra da Tijuca;-23.0091643;-43.32699694;Private room;109;1;0;;;2;90
22635805;Suíte(Mensal)(Citta/Downtown): Barra da Tijuca/ABM;91328419;Luciano;;Barra da Tijuca;-23.00636233;-43.32362871;Private room;64;30;0;;;1;358
4712987;Belo Studio at Botafogo Bay;13731131;Fabio;;Botafogo;-22.94378628;-43.18149653;Entire home/apt;109;3;54;28/09/2018;1.32;2;320
11388867;APART. FRENTE AOS JOGOS OLIMPICOS.;59740452;Kamila;;Barra da Tijuca;-22.97342015;-43.39149509;Entire home/apt;1998;20;0;;;1;180
13203606;I rent bora bora risorts;73974270;Marcos;;Barra da Tijuca;-22.97328741;-43.38940481;Entire home/apt;1600;20;0;;;1;365
14076155;Olympic Games 2016 - Rio de janeiro  - Be Happy;24860080;Pedro;;Jacarepaguá;-22.97067471;-43.38808724;Entire home/apt;800;20;0;;;1;87
22397650;Alugo apt na BarraRegião Olímpica e do Rock in Rio;146093448;André;;Jacarepaguá;-22.97205578;-43.39242036;Entire home/apt;349;1;0;;;2;365
14297807;QUARTO PARA OLIMPIADAS.;87325287;Sergio;;Jacarepaguá;-22.97072411;-43.39328749;Shared room;349;10;0;;;1;363
10093395;Studio at Botafogo Beach;28551405;Ana Cândida E Ricardo;;Botafogo;-22.94590198;-43.18247243;Entire home/apt;131;6;22;27/09/2018;0.68;1;67
14309070;Ap 3 Q perto do Parque Olímpico;87451787;Alei;;Jacarepaguá;-22.97022267;-43.38913245;Entire home/apt;999;1;1;3/09/2017;0.07;1;365
12711748;Newly renovated studio at Praia de Botafogo;69107569;Antonio;;Botafogo;-22.94599097;-43.18328195;Entire home/apt;109;3;26;4/10/2018;0.98;2;157
14084562;Apartamento Olimpiadas perto do Parque Olímpico;84682646;Ligia;;Jacarepaguá;-22.97216427;-43.38742158;Entire home/apt;1502;5;0;;;2;362
13846034;Apartment 4  accommodations - Barra da Tijuca - RJ;37082941;Janete;;Jacarepaguá;-22.97026189;-43.39021674;Entire home/apt;699;2;0;;;2;87
12710369;Apt 2 qtos - Próximo ao mar e a shoppings;69097427;Elizabeth;;Barra da Tijuca;-23.0078313;-43.32257742;Entire home/apt;699;2;17;29/07/2018;0.64;1;70
22395234;Duplex com varanda e vista pro mar;11808737;Clarice;;Botafogo;-22.94087692;-43.1832805;Entire home/apt;500;3;2;18/02/2018;0.22;1;365
12585929;GREAT APARTMENT, COZY ALL INFRASTRUCTURE;68263931;Antonio Carlos;;Botafogo;-22.9436269;-43.18212064;Entire home/apt;398;10;1;2/06/2016;0.03;1;83
3424810;ótima localização no Flamengo;13887355;Angela;;Botafogo;-22.94593547;-43.18265167;Entire home/apt;199;3;1;14/02/2018;0.12;1;288
13272950;Rent for the olympic games.;74787957;Roberto;;Jacarepaguá;-22.97175087;-43.38925002;Entire home/apt;751;7;0;;;1;362
22264883;Três quartos com vistão da Baía de Guanabara;117144212;Mauricio;;Botafogo;-22.94378115;-43.18428577;Entire home/apt;590;3;0;;;1;90
11101988;Paradiso All Suites Barra da Tijuca;11816298;Fred;;Barra da Tijuca;-23.00843256;-43.32039887;Entire home/apt;428;3;19;8/04/2018;0.63;3;310
21298435;Confortável apartamento Residencial Verano Stay 1;11671430;Cristina;;Jacarepaguá;-22.9687967;-43.38822648;Entire home/apt;222;3;1;3/01/2018;0.11;12;253
