id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14006944,Ipanema Beth apartment near Ipanema posto 8/ Arpo,83714610,Ludovico E Vittoria,,Ipanema,-22.985927020656902,-43.19356512241778,Entire home/apt,522,2,17,2018-10-10,0.70,1,173
20056167,Confortável 2 quartos em excelente localização,142511579,Carlos,,Copacabana,-22.98092366635396,-43.19249360560445,Entire home/apt,548,5,0,,,1,363
10887121,Quarto mobiliado em Ipanema.,56415535,Yana,,Copacabana,-22.983226600667493,-43.19470365669642,Private room,188,3,0,,,2,365
368146,LOVELY IPANEMA APT NEAR THE BEACH,1858602,Silvia,,Ipanema,-22.986522872297343,-43.19532077669975,Entire home/apt,252,3,115,2018-09-29,1.44,2,269
16543943,Estúdio Charmoso em Ipanema,66231570,Cristovão,,Ipanema,-22.98626963591156,-43.19466572964539,Entire home/apt,372,3,59,2018-09-23,2.73,1,125
"1259757,""Copacabana 100 meters from the beach, location !!!"",3641304,Remo,,Copacabana,-22.978692586449167,-43.190991802581316,Entire home/apt,233,3,1,2018-02-25,0.13,2,106"
22922552,Best studio/apartment in Copacabana,169718373,Xavi,,Copacabana,-22.978666824072164,-43.19122827720369,Entire home/apt,300,4,0,,,1,13
14817726,VEM PRO RIO - C.389 - 2QT,4928492,Felipe,,Copacabana,-22.962325958669908,-43.17593316369897,Entire home/apt,300,3,0,,,9,363
12970869,Cozy Apartment - Copacabana Center,2105194,Paulo E Francisca,,Copacabana,-22.969998465009624,-43.188493365510546,Entire home/apt,120,3,31,2018-08-25,1.18,3,56
577039,Bright room conveniently located,2837815,Yara Maria,,Copacabana,-22.97809706257296,-43.19266071630981,Private room,300,4,15,2016-08-16,0.20,2,365
20301901,Luxurious Penthouse,144802987,Kelen,,Copacabana,-22.97181341447358,-43.189397466164955,Entire home/apt,650,2,12,2018-04-01,0.98,1,132
13989685,Sweet Haven,83511983,Sonia,,Copacabana,-22.97401477621345,-43.1873357194668,Shared room,398,1,5,2016-08-21,0.19,1,89
15235836,Conforto e boa localização em Copacabana.,96857970,Josino,,Copacabana,-22.97200492236298,-43.18970014190377,Private room,192,2,1,2017-01-02,0.05,2,83
10338275,Copacabana! Good and calm place.,53203436,Raquel,,Copacabana,-22.96800214151851,-43.18725935148827,Entire home/apt,1100,3,2,2016-08-15,0.08,1,365
"24677007,""OFFER: LOW PRICES, OCTOBER AND NOVEMBER!"",2206708,Lilian E Cadu,,Copacabana,-22.97725311718381,-43.1928916539965,Entire home/apt,113,5,1,2018-09-12,1,3,351"
8162644,Great view and flat in Copacabana,24552503,Taymar,,Copacabana,-22.96122940634453,-43.176631895822936,Entire home/apt,789,4,0,,,1,365
7963714,COPACABANA BEACH perfect for Carnaval 2018,4902557,Elza,,Copacabana,-22.977608720973915,-43.19141783989642,Entire home/apt,751,3,1,2016-01-03,0.03,1,365
3279947,Stylish 3 BR near the beach,16326971,Barbara,,Copacabana,-22.977528155195447,-43.190429598714445,Entire home/apt,101,14,6,2017-03-24,0.13,1,31
16569700,COZY APARTMENT ONE BLOCK FROM COPACABANA BEACH,1664638,Alexandre,,Copacabana,-22.98005157102339,-43.19082743832976,Entire home/apt,180,3,21,2018-10-02,0.98,2,328
"4615495,""Copacabana, 3BDR Apartment"",23910734,Daniel,,Copacabana,-22.976767903096704,-43.19168091583782,Entire home/apt,1514,3,0,,,1,365"
13668667,APARTHOTEL 5 * Olympic Games!,79484264,William,,Copacabana,-22.97592610865425,-43.191850550548665,Entire home/apt,1315,1,0,,,3,364
14818505,Apartamento Santa Clara,92525893,Analia,,Copacabana,-22.969634416853665,-43.18826412142817,Entire home/apt,229,5,0,,,1,177
16921343,Studio in the heart of Copacabana beach,113016905,Victor,,Copacabana,-22.971051526773536,-43.18834534735237,Entire home/apt,135,3,1,2017-02-28,0.05,1,200
28509269,Lindo apartamento com 3 suítes e ótima localização,209348943,Erico,,Copacabana,-22.9722612974738,-43.18937966259496,Entire home/apt,417,1,1,2018-09-23,1,1,340
15926249,Great Copacabana 2 bedroom in Secure Building,103335273,John,,Copacabana,-22.977637654017332,-43.1914315568455,Entire home/apt,372,3,16,2017-09-27,0.70,2,325
22277209,Comfortable Apartment in Apart Hotel - two rooms,51314789,Dumont,,Copacabana,-22.96188328896671,-43.17591673095092,Entire home/apt,192,2,0,,,3,35
13357137,Olímpic games and vacacios,524777,Mira,,Copacabana,-22.970943519538306,-43.18826445326947,Entire home/apt,1127,5,0,,,2,363
22000796,COPACABANA AWSOME - 400M FROM BEACH AND SUBWAY,26224953,Bernardo,,Copacabana,-22.971266966579254,-43.18847041259267,Entire home/apt,158,4,4,2018-02-28,0.39,1,10
22433820,Really nice 1 bedroom apartment in Copacabana!,11739,Eric,,Copacabana,-22.962380173972424,-43.1763506008955,Entire home/apt,180,3,3,2018-07-30,0.32,7,55
11142219,NEW HOSTEL 3 BLKS FROM BEACH BedE,23747842,Renata,,Copacabana,-22.96746458176457,-43.185790328006284,Shared room,563,1,2,2016-08-22,0.08,17,365
16376586,Flat 117-A no Hotel Real Residence,107050007,Diogo,,Copacabana,-22.96102450400598,-43.17607757743765,Entire home/apt,252,2,16,2018-09-09,0.73,2,177
1094420,COPACABANA WORLD CUP U$300 A DAY,422874,Carlos,,Copacabana,-22.96757324353047,-43.1870294808265,Entire home/apt,349,5,5,2017-12-28,0.15,1,362
35893,Copa Tabajaras,154043,Seba,,Copacabana,-22.96680789927568,-43.18657351368087,Entire home/apt,150,4,1,2012-06-25,0.01,1,89
28914891,Quarto Copacabana Zona Sul,217958157,Amanda,,Copacabana,-22.97550379954821,-43.192020294227916,Private room,222,2,0,,,1,16
17991166,Nice apartment on Copacabana!,29332218,Anna,,Copacabana,-22.976525100234856,-43.19081455308709,Entire home/apt,154,3,17,2018-09-09,0.94,2,38
27635063,Rio Rentals 021 - U001 Cozy and quiet apartment for 4 people in Copacabana,171256195,Andre,,Copacabana,-22.963012744521095,-43.17663016635171,Entire home/apt,154,1,0,,,15,124
20676360,Copacabana Temporada Princesinha do Mar - Posto 5,147946652,Renato,,Copacabana,-22.978225287784387,-43.191525927902774,Entire home/apt,192,3,10,2018-02-15,0.77,1,365
8208222,El Misti Rio Copacabana 8-Bed Shared Mixed Dorm E,43269364,El Misti,,Copacabana,-22.968360563567384,-43.1873711978868,Shared room,45,1,1,2018-09-12,1,4,71
8060207,Apartment overlooking the sea in Copacabana,25506068,Regina,,Copacabana,-22.97765979355064,-43.1914681620796,Entire home/apt,180,3,21,2017-03-17,0.55,1,164
20757845,Quarto com janela antirruído a 1 quadra da praia.,2942002,Paulo Fernando,,Copacabana,-22.98061928259413,-43.19232938198357,Private room,139,3,6,2018-02-16,0.46,2,365
19315745,Cozy room w/own bath in luxury apt right on beach,2981770,M,,Copacabana,-22.980075514644994,-43.19098767716527,Private room,38,3,7,2018-07-25,0.54,2,91
26745655,Apartamento Espaçoso em Copacabana,44838515,Andréa,,Copacabana,-22.978088292126078,-43.19253752265562,Entire home/apt,270,1,1,2018-10-03,1,1,118
14074959,Cozy apartment close to the beach and the subway station,84566555,Maria Paula,,Copacabana,-22.961056948477374,-43.176277541737214,Entire home/apt,939,1,0,,,1,365
"13912446,""Copacabana, Ipanema a pé "
"Copa, Ipanema by foot"",2244498,Ana Regina,,Copacabana,-22.98069857030682,-43.19177651525472,Entire home/apt,229,3,21,2018-10-05,0.86,2,169"
9989703,Fantastic apartment in Copacabana,50890793,Magda,,Copacabana,-22.96271083014227,-43.17712351242844,Entire home/apt,601,3,8,2018-04-01,0.24,1,142
28107531,Apartamento a 3 quadras da praia de Copacabana,212316847,Anna Paula,,Copacabana,-22.97596490591002,-43.192002360654485,Entire home/apt,101,4,0,,,1,334
2520053,Cobertura no melhor local de Copa,12901063,Eduardo Henrique,,Copacabana,-22.971658523779773,-43.190189937276244,Entire home/apt,1998,10,0,,,2,358
13056599,Copacabana 3 quartos mobiliado.,72295501,Cristina,,Copacabana,-22.97109701274354,-43.18797478564673,Entire home/apt,451,3,0,,,1,359
"2824458,""Cozy, modern and safe flat in Copa"",14449322,Fabio Cesar,,Copacabana,-22.97180033151104,-43.188681099624404,Entire home/apt,1499,5,1,2014-06-25,0.02,1,362"
17187886,Cobertura Copacabana Beach,18568541,Cristian,,Copacabana,-22.969672557269448,-43.18870137969204,Entire home/apt,2239,5,0,,,11,364
26452956,Cobertura Luxuosa Vista Mar,198910828,André,,Copacabana,-22.963360778664978,-43.17672729715571,Entire home/apt,1499,3,0,,,4,337
16946645,Copacabana Beach,18568541,Cristian,,Copacabana,-22.96298289399498,-43.17766521692421,Entire home/apt,751,5,1,2018-01-02,0.11,11,365
28205250,Ótimo AP em copa excelente localização 400m praia,156792723,Osias,,Copacabana,-22.971601331990964,-43.18806871092215,Entire home/apt,240,3,0,,,1,169
1860370,Mezanino p/até 3 pess em Copacabana,4264872,Maria Das Graças,,Copacabana,-22.97830712917512,-43.19137398670714,Private room,79,2,47,2018-04-22,0.78,6,348
13002662,Copacabana 2 quartos rua tranquila,3767558,Marcelo,,Copacabana,-22.961211157360324,-43.17711639029903,Entire home/apt,177,2,92,2018-10-02,3.37,2,329
10897082,Double room in Copacabana New Year's and Carnival.,56464577,Anamaria,,Copacabana,-22.970680895545048,-43.18949653787898,Private room,128,3,6,2018-02-17,0.18,7,358
18078230,Copacabana Temporada,506187,Sheila,,Copacabana,-22.971035561941545,-43.188669507452246,Private room,90,2,13,2018-02-05,0.81,4,358
7111469,Aptº Amarelo Copacabana,37252676,Carolina,,Copacabana,-22.974557630614715,-43.18695150696721,Entire home/apt,282,3,1,2017-09-25,0.08,1,76
24357972,MARVAN APARTAMENTOS,183807933,Marcelo,,Copacabana,-22.963376054697637,-43.178393011605294,Entire home/apt,131,2,8,2018-10-07,1.73,1,347
19758936,Wonderful 2 bed / bath apt in Copacabana,88124349,PremierCopaApartments,,Copacabana,-22.971074009575297,-43.18894406096238,Entire home/apt,165,1,0,,,21,165
